능력단위코드,능력단위명,정의,대분류,중분류,소분류,세분류,지식,기술,태도,검색키워드
0803030904,스마트문화앱콘텐츠 유통채널 관리,"스마트문화앱콘텐츠 유통 채널 관리란 스마트문화앱콘텐츠의 유통 활성화를 위하여 앱 유통채널을 분석하고, 선정하고, 관리하는 능력이다.",문화·예술·디자인·방송,문화콘텐츠,문화콘텐츠유통·서비스,스마트문화앱콘텐츠유통·서비스,스마트문화앱 유통채널 분석자료 검토 및 평가 방법 | 스마트문화앱 유통채널 분석자료 검토 및 평가 방법 | 스마트문화앱 유통채널 활용 방안 및 사례에 대한 지식,스마트문화앱 유통채널 기술 변화 예측 능력 | 스마트문화앱 유통채널 기술 변화 예측 능력 | 스마트문화앱 유통채널 시장 변화 예측 능력,관련부서 및 조직원 간 원활하게 의사소통을 하려는 노력 | 관련부서 및 조직원 간 원활하게 의사소통을 하려는 노력 | 기술 예측 자료를 분석하려는 태도,인공지능
0201030315,2차 자료 분석,"2차 자료 분석이란 조사목적에 부합하는 2차 자료의 대상을 선정하고, 선정한 2차 자료를 효율적으로 수집하며, 수집한 자료를 정밀 분석하여 유의미한 결론을 도출하는 능력이다.",경영·회계·사무,기획사무,마케팅,통계조사,1차 자료와 2차 자료의 특성 | 2차 자료 점검법 | 2차 자료 접근 권한 확보 방법,2차 자료 수집에 필요한 조사계획서 작성 능력 | 양적 자료의 구조화 기술 | 양적 자료의 분석 기술,2차 자료 분석을 통해 의미 있는 결과를 발견하고자 하는 태도 | 분석결과의 핵심내용을 전달하고자 하는 노력 | 수집한 2차 자료의 품질을 확보하려는 자세,인공지능
1903150103,생육진단 시스템개발,생육진단 시스템개발이란 적용대상의 생육진단에 필요한 정보를 이용하여생육진단 알고리즘을 개발하는 능력이다.,전기·전자,전자기기개발,스마트팜개발,스마트팜기술개발,"시설 환경정보와 적용대상의 생육 변화에 대한 지식 | 적용대상의 생육정보 종류와 수동, 자동수집 방법에 대한 지식 | 적용대상의 생육정보 활용방법에 대한 지식","생육정보 데이터베이스 구축 기술 | 생육정보 분석 기술 | 수동, 자동 생육정보 수집 기술",생육 환경정보와 적용대상의 생육반응에 대해 이해하려는 적극적인태도 | 생육정보를 오차없이 수집하려는 자세 | 적용대상의 생육정보를 체계적으로 분류하려는 태도,인공지능
1503020401,생산성지표 관리,생산성지표 관리란 생산성데이터를 수집분석하고 생산성관리계획을 수립하여 생산성지표를 관리하는 능력이다.,기계,기계조립·관리,기계생산관리,기계생산성관리,"CPM(Critical Path Method) 지식 | PERT(Program Evaluation and Review Technique) 지식 | 공정 사이클타임, 공정원가 분석 등의 생산성 평가 도구와 방법에 대한지식",공정 사이클 타임을 측정하여 작업 표준시간을 설정하는 기술 | 공정별 원가항목을 분류 및 집계하는 기술 | 공정별 원가항목을 분석하는 기술,객관적이고 과학적으로 생산성에 대한 실적을 측정하고 평가하는 태도 | 기준지표를 선정하고 생산성 기준을 설정함에 있어 객관적이고합리적인 태도 | 부서간의 회의 주재 시 갈등을 합리적으로 중재하면서도 공동의목표의식을 고취시키는 태도,인공지능
1903080401,로봇 대화지능 개발,로봇 대화지능 개발이란 사용자의 음성에서 의도를 분석하고 로봇의 특성을 반영하여 대화모델을 설계하고 학습을 통하여 적절한 응답을 구현하는능력이다.,전기·전자,전자기기개발,로봇개발,로봇지능개발,로봇 외부 환경에 대한 공간적인 특성을 이해하는 지식 | 분류 모델에 대한 지도 학습에 대한 일반적 지식 | 선형 대수 및 미적분 등의 수학적 이론에 대한 지식,모델 평가와 일반화를 위한 프로세스 관리 기술 | 센서의 신호에 대한 알고리즘 처리 기술 | 센서의 특성에 따른 데이터 획득 및 오류 데이터 제거 기술,개발과정을 정리하고 기록하는 태도 | 개발자 간의 원활한 의사소통 태도 | 사용자 요구를 만족시키려는 태도,인공지능
1902010111,전자제품기획 통합조정,전자제품기획 통합조정이란 기획안 초안을 바탕으로 최근 이슈와 위험요소를 분석하고 각 부서의 업무분장을 반영하여 최종 기획안을 작성하는능력이다.,전기·전자,전자기기일반,전자제품개발기획·생산,전자제품기획,갈등관리프로그램에 대한 지식 | 고객불만요인 및 처리방법에 대한 지식 | 기획안작성방법,고객과의 의사소통 능력 | 고객설득 능력 | 보고서작성 기술,각 부서의 업무에 대한 객관적인 태도 | 각종 정보수집에 대한 적극적인 태도 | 각종정보 수집에 관한 관심,인공지능
2001070406,인공지능서비스 운영장애관리,인공지능서비스 운영장애관리는 인공지능서비스의 원활한 운영을 위하여장애를 접수하여 원인을 분석하고 장애를 처리하여 결과를 보고하는 능력이다.,정보통신,정보기술,인공지능,인공지능서비스운영관리,인공지능 알고리즘 지식 | 인공지능 알고리즘 지식 | 인공지능서비스 운영 지식,로그 분석도구 활용 기술 | 서비스 목표관리 기술 | 유사사례 유형별 정리기술,고객의 요구에 신속하게 대응하려는 자세 | 상세 기술을 주의 깊게 관찰하는 태도 | 상세 기술을 주의 깊게 관찰하는 태도,인공지능
0903010619,관제기술행정운영,관제기술행정운영은 사업 및 예산업무를 관리하고 관제 시스템장애 시 처리하는 능력이다.,운전·운송,선박운전·운송,선박운항,선박교통관제,,,,인공지능
1903170105,커넥티드카 HMI/UX 개발,커넥티드카 HMI/UX 개발이란 커넥티드카 서비스 시나리오를 바탕으로 운전자와 탑승자의 자동차 인터페이스를 위해 HMI 개발환경을 구성하고 인공지능 관련 알고리즘을 응용하거나 차량 주변 사물과 연동하는 다양한인터랙션을 구현하는 능력이다.,전기·전자,전자기기개발,커넥티드카개발,커넥티드카소프트웨어기술개발,NUI( Natural User Interface) 이해 | 다양한 멀티 인터랙션 입·출력과 멀티 모달 인터페이스 지식 이해 | 머신러닝과 딥러닝 관련 지식,API Set 구성과 연동 기술 | GUI 프레임워크 구축 능력 | 딥러닝 기반 HMI 설계 능력,HMI/UX 관계자들과 원활한 관계를 유지하려는 태도 | 고도화된 인터랙션 요소기술을 명세화하려는 적극적인 태도 | 급격하게 진화하는 인공지능 기술변화에 혁신적 활용 자세,인공지능
2001070506,인공지능서비스 인터페이스 개발,"인공지능서비스 인터페이스 개발이란 인공지능서비스 구현을 위하여 사용자 인터페이스, 시스템 인터페이스와 같은 인공지능 인터페이스를 개발하고 테스트하여 사용성을 평가하는 능력이다.",정보통신,정보기술,인공지능,인공지능서비스구현,HMI(human machine interaction) 지식 | 사용성 평가 관련 지식 | 사용자 경험에 대한 지식,HMI(human machine interaction) 개발 능력 | 사용성 시나리오 분석 능력 | 사용자 인터페이스 개발 능력,개발 일정을 준수하고 약속을 성실히 이행하려는 자세 | 관련기술 동향 및 신기술 이해를 위한 지속적인 노력 | 관련기술 동향 및 신기술 이해를 위한 지속적인 노력,인공지능
